Фёкла Вадимовна Козлова;Солнечногорск;ш. Поперечное, д. 2/1;Зарубежнефть;Тыловик;8 (815) 049-24-16;terenti29@yandex.ru;1987-05-03;194578
Иванна Натановна Самсонова;Старая Русса;пр. Тамбовский, д. 53;ГК Титан;Лекальщик;8 (152) 743-8567;evdokim39@yandex.ru;1977-09-30;75519
Марков Фортунат Абрамович;Тверь;ш. Лермонтова, д. 67 стр. 3/4;Мечел;Робототехник;8 (758) 244-7136;radovan_98@gmail.com;1963-09-20;176426
Горбунова Прасковья Ефимовна;Шали;бул. Никитина, д. 33;А-Ойл;Веб-интегратор;8 (169) 082-64-18;foka_73@yandex.ru;2005-02-09;149968
Ефим Яковлевич Капустин;Хужир;ул. Кедровая, д. 9 стр. 3/5;Eurasia Drilling Company;Торакальный хирург;88222762892;ereme_02@mail.ru;1996-05-14;152059
Творимир Глебович Кулагин;Лазаревское;пер. Казачий, д. 396 к. 43;Компания Адамас;Мясник;8 (675) 558-13-32;filaret2009@yandex.ru;1975-05-14;87889
Тимофеев Куприян Феоктистович;Сковородино;ш. Стадионное, д. 7/5 к. 3;Беркс;Менеджер;+73200160620;mihe56@mail.ru;1962-10-09;126410
Конон Валерьевич Селиверстов;Биробиджан;бул. Камский, д. 10;Хенкель Рус (Henkel);Пластический хирург;8 (283) 950-63-25;danilovavasilisa@yandex.ru;1985-05-14;59230
Мишин Авдей Терентьевич;Юрьевец (Иван.);ш. Правды, д. 6/8 к. 45;Нестле Россия (Nestle);Химик;+78794253058;minakononov@gmail.com;1986-03-18;90415
Эрнест Исидорович Калашников;Тикси;бул. Красный, д. 47 к. 324;Роснефть;Парфюмер;89403771967;volkovaanzhelika@gmail.com;1962-03-15;188175
Маргарита Святославовна Лаврентьева;Поярково;пр. Ленский, д. 39 к. 68;Нортгаз;Веб-мастер;8 (736) 593-9510;xpahomova@rambler.ru;1959-12-11;45425
Мартынова Ксения Алексеевна;Ахтубинск;бул. Титова, д. 82 стр. 219;171 Меридиан;Военный судья;+72851397019;askolddjachkov@yandex.ru;1992-12-23;88051
Горбунова Лора Вадимовна;Верхнее Пенжино;пер. Речной, д. 9/2 к. 6;ПК Балтика (Carlsbergfondet);Монтажник;8 577 756 04 31;tihonovairaida@yahoo.com;1999-09-05;77404
Осип Иосипович Кошелев;Тавда;ул. Челюскинцев, д. 630;Загорский трубный завод;Бортмеханик;8 072 452 2399;filimonkabanov@mail.ru;1992-12-04;145346
Елисеева Галина Алексеевна;Артем;алл. Тургенева, д. 7;Купишуз (Lamoda);Экспедитор;+79287496825;venedikt_14@gmail.com;1998-09-21;46747
Глафира Степановна Павлова;Кяхта;пр. Павлика Морозова, д. 73 стр. 1/7;Инвестнефтетрейд;Геодезист;+76018890735;epifan_1971@yahoo.com;1998-04-08;120095
Беспалов Савва Артемьевич;Смирных;алл. Мирная, д. 123;Группа Черкизово;Парикмахер;+78533630522;kopilovisa@yahoo.com;2006-01-30;58535
Семенова Ирина Анатольевна;Малоярославец;алл. Металлистов, д. 7/8 стр. 7;Вертолеты России;Лимфолог;+7 (760) 546-58-66;evlampi_55@hotmail.com;1976-08-29;167336
Лариса Болеславовна Харитонова;Бомнак;пер. Речной, д. 580;Банковский холдинг Альфа-банка;Жиловщик/Обвальщик;+7 048 490 87 01;nestor_2004@yandex.ru;2005-10-07;98554
